phrase,label,category,phrase_len_tokens,phrase_start_pos,layer0_k1_prob,layer0_k1_top1,layer0_k1_top5,layer0_k1_top10,layer0_k1_surprisal,layer0_k2_prob,layer0_k2_top1,layer0_k2_top5,layer0_k2_top10,layer0_k2_surprisal,layer0_k3_prob,layer0_k3_top1,layer0_k3_top5,layer0_k3_top10,layer0_k3_surprisal,layer6_k1_prob,layer6_k1_top1,layer6_k1_top5,layer6_k1_top10,layer6_k1_surprisal,layer6_k2_prob,layer6_k2_top1,layer6_k2_top5,layer6_k2_top10,layer6_k2_surprisal,layer6_k3_prob,layer6_k3_top1,layer6_k3_top5,layer6_k3_top10,layer6_k3_surprisal,layer12_k1_prob,layer12_k1_top1,layer12_k1_top5,layer12_k1_top10,layer12_k1_surprisal,layer12_k2_prob,layer12_k2_top1,layer12_k2_top5,layer12_k2_top10,layer12_k2_surprisal,layer12_k3_prob,layer12_k3_top1,layer12_k3_top5,layer12_k3_top10,layer12_k3_surprisal,layer18_k1_prob,layer18_k1_top1,layer18_k1_top5,layer18_k1_top10,layer18_k1_surprisal,layer18_k2_prob,layer18_k2_top1,layer18_k2_top5,layer18_k2_top10,layer18_k2_surprisal,layer18_k3_prob,layer18_k3_top1,layer18_k3_top5,layer18_k3_top10,layer18_k3_surprisal,layer24_k1_prob,layer24_k1_top1,layer24_k1_top5,layer24_k1_top10,layer24_k1_surprisal,layer24_k2_prob,layer24_k2_top1,layer24_k2_top5,layer24_k2_top10,layer24_k2_surprisal,layer24_k3_prob,layer24_k3_top1,layer24_k3_top5,layer24_k3_top10,layer24_k3_surprisal,layer30_k1_prob,layer30_k1_top1,layer30_k1_top5,layer30_k1_top10,layer30_k1_surprisal,layer30_k2_prob,layer30_k2_top1,layer30_k2_top5,layer30_k2_top10,layer30_k2_surprisal,layer30_k3_prob,layer30_k3_top1,layer30_k3_top5,layer30_k3_top10,layer30_k3_surprisal,layer36_k1_prob,layer36_k1_top1,layer36_k1_top5,layer36_k1_top10,layer36_k1_surprisal,layer36_k2_prob,layer36_k2_top1,layer36_k2_top5,layer36_k2_top10,layer36_k2_surprisal,layer36_k3_prob,layer36_k3_top1,layer36_k3_top5,layer36_k3_top10,layer36_k3_surprisal,layer42_k1_prob,layer42_k1_top1,layer42_k1_top5,layer42_k1_top10,layer42_k1_surprisal,layer42_k2_prob,layer42_k2_top1,layer42_k2_top5,layer42_k2_top10,layer42_k2_surprisal,layer42_k3_prob,layer42_k3_top1,layer42_k3_top5,layer42_k3_top10,layer42_k3_surprisal,layer47_k1_prob,layer47_k1_top1,layer47_k1_top5,layer47_k1_top10,layer47_k1_surprisal,layer47_k2_prob,layer47_k2_top1,layer47_k2_top5,layer47_k2_top10,layer47_k2_surprisal,layer47_k3_prob,layer47_k3_top1,layer47_k3_top5,layer47_k3_top10,layer47_k3_surprisal,baseline_k1_prob,baseline_k1_top1,baseline_k2_prob,baseline_k2_top1,baseline_k3_prob,baseline_k3_top1
body whorl,non-compositional,farahmand,3,2,3.109349800203831e-12,0,0,0,33.219280948873624,4.675523450714536e-05,0,0,0,14.384512582703882,3.9087488403311e-05,0,0,0,14.642933588313056,0.0006090165115892887,0,0,0,10.681231036696886,6.323492561932653e-05,0,0,0,13.948918873305344,0.00042593441321514547,0,0,0,11.197081082933938,0.0011767084943130612,0,0,0,9.731027318488346,3.2829513656906784e-05,0,0,0,14.894647096745409,0.0008125703898258507,0,0,0,10.265219586023678,0.001282759360037744,0,0,0,9.606533732038026,0.00014773689326830208,0,0,0,12.72468223463274,0.0006845747120678425,0,0,0,10.51250437882913,0.0014388314448297024,0,0,0,9.440886690465263,0.00019911293929908425,0,0,0,12.294125402307918,0.0024474202655255795,0,0,0,8.674522425611313,0.0005615546833723783,0,0,0,10.798285862553389,0.0002605941554065794,0,0,0,11.90590765197686,0.0031324129085987806,0,0,0,8.318509886233649,5.849496665177867e-05,0,0,0,14.061327984765212,6.511365063488483e-05,0,0,0,13.90668044811528,0.0008741169003769755,0,0,0,10.159886147516604,0.000198046094737947,0,0,0,12.30187612646519,1.2582671843119897e-05,0,0,0,16.278202173401205,0.0025186475832015276,0,0,0,8.633135014728223,0.00010521787771722302,0,0,0,13.214332523753164,2.005633905355353e-05,0,0,0,15.605582184104371,0.0020625973120331764,0,0,0,8.921322098260804,0.01780821941792965,0,2.7677466277964413e-05,0,9.772798875928856e-06,0
bony fish,compositional,farahmand,2,2,2.8080405627406435e-06,0,0,0,18.442004793495766,1.936410914564002e-15,0,0,0,33.219280948873624,0.00038244423922151327,0,0,0,11.35246296288888,7.162387191783637e-05,0,0,0,13.769199962959725,0.0005697018932551146,0,0,0,10.777505178913595,0.00010359008592786267,0,0,0,13.236826442809905,0.0002253629791084677,0,0,0,12.11546183938653,0.00042522992589510977,0,0,0,11.199469248293711,3.6826091672992334e-05,0,0,0,14.728912181277027,0.0003909301885869354,0,0,0,11.320801382174771,0.0005189437069930136,0,0,0,10.912134330459025,0.00010183543054154143,0,0,0,13.261472788926506,0.0005773013108409941,0,0,0,10.758387878365099,0.0005235373973846436,0,0,0,10.89941978395147,5.6124012189684436e-05,0,0,0,14.121022326504361,9.336104994872585e-05,0,0,0,13.386819688591824,0.0014861166710034013,0,0,0,9.394236902250821,0.00018458419071976095,0,0,0,12.403433385324714,0.00010602513066260144,0,0,0,13.203306118674323,0.0004893590812571347,0,0,0,10.996818906933608,8.231792890001088e-05,0,0,0,13.568433789620764,2.672050686669536e-05,0,0,0,15.19169309959146,0.0020745417568832636,0,0,0,8.912991588242056,3.218253550585359e-05,0,0,0,14.923362480954047,7.528977221227251e-06,0,0,0,17.019114674955908,0.0019699828699231148,0,0,0,8.987601199947147,6.116078293416649e-05,0,0,0,13.997033599327212,0.00399556290358305,0,0.00024516318808309734,0,1.5070094150360092e-06,0
brass knuckles,non-compositional,farahmand,2,2,8.097730125333769e-11,0,0,0,33.219280948873624,4.209376309972576e-14,0,0,0,33.219280948873624,9.805839695786744e-09,0,0,0,26.603711677105053,1.3333918104763143e-05,0,0,0,16.19453970303231,0.00018950941739603877,0,0,0,12.365442836731031,0.00013932054571341723,0,0,0,12.80930435051807,2.882287844840903e-06,0,0,0,18.404354149291088,0.00020132445206400007,0,0,0,12.278189972669772,0.0001233562215929851,0,0,0,12.98488189832577,6.12924964116246e-07,0,0,0,20.63778619800098,0.00021572968398686498,0,0,0,12.178487677347817,3.35275472025387e-05,0,0,0,14.864293531662105,1.9603362488851417e-06,0,0,0,18.960467433864984,0.0006599398329854012,0,0,0,10.56537788024561,6.121448677731678e-05,0,0,0,13.995767358634202,7.922548093119985e-07,0,0,0,20.267532151826167,0.002507551107555628,0,0,0,8.639505179291964,6.859614950371906e-05,0,0,0,13.831512878327326,5.294530680544085e-08,0,0,0,24.170921953041805,0.00327712157741189,0,0,0,8.253355088474846,0.0001370123354718089,0,0,0,12.833406592036175,6.333292557059167e-09,0,0,0,27.23439712988245,0.0015715856570750475,0,0,0,9.31356337830994,1.2512225112004671e-05,0,0,0,16.28630210039284,1.0645909709339207e-09,0,0,0,29.807053618420948,0.0035900662187486887,0,0,0,8.121773829867442,1.3959386706119403e-05,0,0,0,16.128404915086684,0.8901118636131287,1,2.3815442062868897e-08,0,1.9644592619272316e-09,0
cadet branch,non-compositional,farahmand,2,2,1.189082793420061e-20,0,0,0,33.219280948873624,0.00041306973434984684,0,0,0,11.241327021855978,7.290848770935554e-06,0,0,0,17.06548179231104,7.132608880056068e-05,0,0,0,13.77521060956385,0.0008060017717070878,0,0,0,10.276929369542831,8.023524424061179e-05,0,0,0,13.60540437837978,0.00041447291732765734,0,0,0,11.23643454396494,0.0014060955727472901,0,0,0,9.474089626494525,9.532746480545029e-05,0,0,0,13.356748545399896,0.00017600362480152398,0,0,0,12.47210723802022,0.0005289576947689056,0,0,0,10.884560037149134,7.218241080408916e-05,0,0,0,13.7579931461501,0.0005527979228645563,0,0,0,10.82096018473253,0.0015931617235764861,0,0,0,9.293891560825092,0.0002042674896074459,0,0,0,12.257252770751586,0.0003489416267257184,0,0,0,11.484726666544155,0.004116517957299948,0,0,0,7.9243597651574325,5.8566234656609595e-05,0,0,0,14.059571330832096,0.00033360268571414053,0,0,0,11.549581476105976,0.002745165955275297,0,0,0,8.508890916628136,4.4258566049393266e-05,0,0,0,14.463683764982072,0.00012502972094807774,0,0,0,12.965441299320652,0.002569198841229081,0,0,0,8.604465733795138,3.949212623410858e-05,0,0,0,14.628075430649027,3.156681259497418e-06,0,0,0,18.273159974988662,0.0018379517132416368,0,0,0,9.087685420092766,1.4640721019532066e-05,0,0,0,16.059653869879817,0.013387713581323624,0,0.031127367168664932,0,0.0001340988092124462,0
carnival crowd,compositional,farahmand,2,2,2.0355372958569424e-19,0,0,0,33.219280948873624,2.152114717546283e-07,0,0,0,22.14774168203074,6.401944119716063e-05,0,0,0,13.931130390268152,0.00024083555035758764,0,0,0,12.019664011791509,0.00014568549522664398,0,0,0,12.744855132938193,0.00015251878357958049,0,0,0,12.678725449606098,0.0006713045877404511,0,0,0,10.540744877627711,0.0005152144003659487,0,0,0,10.922539461861282,0.00013837672304362059,0,0,0,12.819111098235412,0.002066679997369647,0,0,0,8.918469264039993,0.00019947096006944776,0,0,0,12.291533652216312,0.0004836135485675186,0,0,0,11.013857716895068,0.001305140322074294,0,0,0,9.581579358267268,0.0007795838173478842,0,0,0,10.325008236201299,0.00036696469760499895,0,0,0,11.412071098606056,0.0003821630962193012,0,0,0,11.353523909114612,0.0011519131949171424,0,0,0,9.761752281407093,0.0001929666759679094,0,0,0,12.33936065416405,0.0002789745049085468,0,0,0,11.807579097361176,0.002066879766061902,0,0,0,8.918329817500759,5.717615567846224e-05,0,0,0,14.094226852894991,7.97925385995768e-05,0,0,0,13.613386628097816,0.002632769290357828,0,0,0,8.569203181143576,3.654327156255022e-05,0,0,0,14.74003467638312,9.68970653048018e-06,0,0,0,16.655115597536483,0.0030025511514395475,0,0,0,8.379595460779614,5.3706098697148263e-05,0,0,0,14.184554548972041,0.001038645743392408,0,0.05942961201071739,0,5.65721420571208e-05,0
carnival people,compositional,farahmand,2,2,3.0364909694414088e-22,0,0,0,33.219280948873624,2.152114717546283e-07,0,0,0,22.14774168203074,6.401944119716063e-05,0,0,0,13.931130390268152,6.78313517710194e-05,0,0,0,13.847688230720806,0.00014568549522664398,0,0,0,12.744855132938193,0.00015251878357958049,0,0,0,12.678725449606098,2.4202819986385293e-05,0,0,0,15.334465321839794,0.0005152144003659487,0,0,0,10.922539461861282,0.00013837672304362059,0,0,0,12.819111098235412,2.6309477107133716e-05,0,0,0,15.214057898773813,0.00019947096006944776,0,0,0,12.291533652216312,0.0004836135485675186,0,0,0,11.013857716895068,7.899451156845316e-05,0,0,0,13.627888054160223,0.0007795838173478842,0,0,0,10.325008236201299,0.00036696469760499895,0,0,0,11.412071098606056,9.43185223150067e-05,0,0,0,13.372099358594873,0.0011519131949171424,0,0,0,9.761752281407093,0.0001929666759679094,0,0,0,12.33936065416405,0.00017654942348599434,0,0,0,12.46764026949841,0.002066879766061902,0,0,0,8.918329817500759,5.717615567846224e-05,0,0,0,14.094226852894991,0.0003175952297169715,0,0,0,11.620523136197523,0.002632769290357828,0,0,0,8.569203181143576,3.654327156255022e-05,0,0,0,14.74003467638312,0.0002244476054329425,0,0,0,12.121333674913043,0.0030025511514395475,0,0,0,8.379595460779614,5.3706098697148263e-05,0,0,0,14.184554548972041,0.0012358336243778467,0,0.05942961201071739,0,5.65721420571208e-05,0
china clay,non-compositional,farahmand,2,2,3.5660463471032244e-10,0,0,0,31.38495549540554,4.778383799752817e-10,0,0,0,30.962758213170073,2.418808435322717e-05,0,0,0,15.335343959089037,3.081958129769191e-05,0,0,0,14.98579321231957,0.00043952849227935076,0,0,0,11.151755688952639,0.00015630053530912846,0,0,0,12.643389660159393,5.7499564718455076e-05,0,0,0,14.08608943978681,0.00134856638032943,0,0,0,9.534357747726991,0.00021218725305516273,0,0,0,12.202374389208513,0.0007057245238684118,0,0,0,10.468607235154817,0.0007820237660780549,0,0,0,10.320499927155002,9.240571671398357e-05,0,0,0,13.40165836717002,0.00040099149919115007,0,0,0,11.28414072692104,0.0045905206352472305,0,1,1,7.767126498061446,0.00034091054112650454,0,0,0,11.518319170520938,0.000289605901343748,0,0,0,11.753621378811289,0.005032932851463556,0,0,0,7.634384934891403,0.0001831353292800486,0,0,0,12.414802246194279,0.00013210077304393053,0,0,0,12.886073470395582,0.003776889992877841,0,0,0,8.048585520751848,0.00019433224224485457,0,0,0,12.329187096908418,9.76917872321792e-05,0,0,0,13.321403191848418,0.0031763683073222637,0,0,0,8.298406078623211,0.00010051319986814633,0,0,0,13.28032740417682,9.707288199933828e-07,0,0,0,19.97442833941372,0.003242566017434001,0,0,0,8.268648337153476,4.329361399868503e-05,0,0,0,14.495486237749892,0.0009006260661408305,0,0.03534852713346481,0,2.492042403900996e-05,0
coffee grinder,compositional,farahmand,2,2,6.897668658467637e-09,0,0,0,27.11124402589303,1.1145914052823613e-11,0,0,0,33.219280948873624,2.015055542869959e-05,0,0,0,15.598820868776041,1.5262470697052777e-05,0,0,0,15.999651949101757,0.00042584171751514077,0,0,0,11.197395089449058,6.448169006034732e-05,0,0,0,13.92075091714462,5.905239504500059e-06,0,0,0,17.369572995739443,0.0006097560399211943,0,0,0,10.67948023588232,0.0001221426937263459,0,0,0,12.999144811810199,2.964510031233658e-06,0,0,0,18.363774890833408,0.0008664264460094273,0,0,0,10.172635100425504,6.087442670832388e-05,0,0,0,14.003804193918674,1.7168299564218614e-06,0,0,0,19.15182141476889,0.004643595311790705,0,0,1,7.7505420375044185,0.00016728027549106628,0,0,0,12.545445036557217,5.919378963881172e-06,0,0,0,17.366122746971243,0.016055021435022354,0,1,1,5.960831598570911,0.0001471193681936711,0,0,0,12.730725190349105,1.2757386684825178e-06,0,0,0,19.58023574202201,0.01594499498605728,0,0,0,5.970752545843468,0.0002461734984535724,0,0,0,11.988036921169543,1.5830845967457208e-08,0,0,0,25.912686406943774,0.0031808989588171244,0,0,0,8.296349739231895,1.1442120012361556e-05,0,0,0,16.415286092953497,8.780401117292058e-08,0,0,0,23.441137910829195,0.000896804325748235,0,0,0,10.122919142529575,6.074861630622763e-06,0,0,0,17.328717021031732,0.9965832829475403,1,8.17989409540587e-09,0,3.7627975735254893e-10,0
conveyor belt,compositional,farahmand,2,2,1.5150601484492654e-07,0,0,0,22.654121593848668,7.442885703312641e-07,0,0,0,20.357634582838855,0.0008327767136506736,0,0,0,10.229782651414505,5.6009394029388204e-05,0,0,0,14.123971654712971,0.0005549014895223081,0,0,0,10.815480703928285,0.0001502339291619137,0,0,0,12.700501708469607,0.0013023337814956903,0,0,0,9.584685033397747,0.0003443944442551583,0,0,0,11.50365051007306,0.0002072099014185369,0,0,0,12.236619436437524,0.005386557895690203,0,1,1,7.536420624510018,0.0002975321258418262,0,0,0,11.714666928640094,0.00015877303667366505,0,0,0,12.620746449184757,0.005129961762577295,0,0,1,7.606836212269466,0.0008517433307133615,0,0,0,10.197293633716738,0.00012027106276946142,0,0,0,13.021422807865308,0.0024212507996708155,0,0,0,8.690031759352017,0.0012689908035099506,0,0,0,9.622102670785404,0.00013142565148882568,0,0,0,12.893465493052304,0.0008655758574604988,0,0,0,10.174052119303102,0.001642295508645475,0,0,0,9.25007054092089,0.0002490872866474092,0,0,0,11.971060990884391,1.906718716782052e-05,0,0,0,15.67854844454326,0.0011397914495319128,0,0,0,9.777014409614441,3.05833418678958e-05,0,0,0,14.996894414604759,1.3028963621763978e-05,0,0,0,16.227918143961798,0.0026358517352491617,0,0,0,8.567515062584917,2.2429834643844515e-05,0,0,0,15.444221489740885,0.6136164665222168,1,0.01278504729270935,0,2.3805074306437746e-05,0
crusader lord,compositional,farahmand,2,2,4.474665615816775e-08,0,0,0,24.41364488285104,9.459090513630735e-15,0,0,0,33.219280948873624,0.001142632681876421,0,0,0,9.773422584699587,6.30735739832744e-05,0,0,0,13.95260479044514,0.0010812559630721807,0,0,0,9.853076195500293,4.669408735935576e-05,0,0,0,14.386400594253002,9.516315185464919e-05,0,0,0,13.359237419048618,0.0021037582773715258,0,0,0,8.892815336719764,9.201825741911307e-05,0,0,0,13.407720338541276,0.00027130451053380966,0,0,0,11.847799346413026,0.0005856145289726555,0,0,0,10.737761032524523,0.00014241025201044977,0,0,0,12.777659370940064,0.00030988178332336247,0,0,0,11.655994432245555,0.002670801943168044,0,0,1,8.548511289671305,0.0001464185188524425,0,0,0,12.737614343912886,0.00042665930232033134,0,0,0,11.19462787655866,0.0036022940184921026,0,0,0,8.116868346141576,6.488383223768324e-05,0,0,0,13.911781442381233,0.00023058030637912452,0,0,0,12.082443080360521,0.005946015007793903,0,0,0,7.393861180037028,8.077085658442229e-05,0,0,0,13.595805634992926,0.00017227412899956107,0,0,0,12.503006316213112,0.006153566297143698,0,0,0,7.344361518437682,0.00013182088150642812,0,0,0,12.889133456399465,1.5178701687545981e-05,0,0,0,16.007592079536085,0.0038082581013441086,0,0,0,8.0366530253149,0.00010829132952494547,0,0,0,13.172794643086293,0.0006022503948770463,0,0.035972751677036285,0,0.00016805749328341335,0
