phrase,label,category,non_comp_score,phrase_len_tokens,avg_next_token_prob,min_next_token_prob,max_next_token_prob,avg_surprisal,logit_lens_L0_avg_prob,logit_lens_L0_avg_surprisal,logit_lens_L6_avg_prob,logit_lens_L6_avg_surprisal,logit_lens_L12_avg_prob,logit_lens_L12_avg_surprisal,logit_lens_L18_avg_prob,logit_lens_L18_avg_surprisal,logit_lens_L24_avg_prob,logit_lens_L24_avg_surprisal,logit_lens_L30_avg_prob,logit_lens_L30_avg_surprisal,logit_lens_L36_avg_prob,logit_lens_L36_avg_surprisal,logit_lens_L42_avg_prob,logit_lens_L42_avg_surprisal,logit_lens_L47_avg_prob,logit_lens_L47_avg_surprisal,future_L0_k1_prob,future_L0_k1_top1,future_L0_k1_top10,future_L0_k2_prob,future_L0_k2_top1,future_L0_k2_top10,future_L6_k1_prob,future_L6_k1_top1,future_L6_k1_top10,future_L6_k2_prob,future_L6_k2_top1,future_L6_k2_top10,future_L12_k1_prob,future_L12_k1_top1,future_L12_k1_top10,future_L12_k2_prob,future_L12_k2_top1,future_L12_k2_top10,future_L18_k1_prob,future_L18_k1_top1,future_L18_k1_top10,future_L18_k2_prob,future_L18_k2_top1,future_L18_k2_top10,future_L24_k1_prob,future_L24_k1_top1,future_L24_k1_top10,future_L24_k2_prob,future_L24_k2_top1,future_L24_k2_top10,future_L30_k1_prob,future_L30_k1_top1,future_L30_k1_top10,future_L30_k2_prob,future_L30_k2_top1,future_L30_k2_top10,future_L36_k1_prob,future_L36_k1_top1,future_L36_k1_top10,future_L36_k2_prob,future_L36_k2_top1,future_L36_k2_top10,future_L42_k1_prob,future_L42_k1_top1,future_L42_k1_top10,future_L42_k2_prob,future_L42_k2_top1,future_L42_k2_top10,future_L47_k1_prob,future_L47_k1_top1,future_L47_k1_top10,future_L47_k2_prob,future_L47_k2_top1,future_L47_k2_top10,avg_lookahead_prob,future_L0_k3_prob,future_L0_k3_top1,future_L0_k3_top10,future_L6_k3_prob,future_L6_k3_top1,future_L6_k3_top10,future_L12_k3_prob,future_L12_k3_top1,future_L12_k3_top10,future_L18_k3_prob,future_L18_k3_top1,future_L18_k3_top10,future_L24_k3_prob,future_L24_k3_top1,future_L24_k3_top10,future_L30_k3_prob,future_L30_k3_top1,future_L30_k3_top10,future_L36_k3_prob,future_L36_k3_top1,future_L36_k3_top10,future_L42_k3_prob,future_L42_k3_top1,future_L42_k3_top10,future_L47_k3_prob,future_L47_k3_top1,future_L47_k3_top10
body whorl,non-compositional,farahmand,1.0,3,0.04553255325981809,3.5337784538569394e-06,0.11879716068506241,8.998669881919325,1.2987341167655505e-22,33.219280948873624,0.0005063598597795741,13.357993270246562,0.0014281721593458012,13.047864942617082,0.004328239517387071,12.254885119125943,0.0043717040038444566,14.017464204884575,0.0031367332851080696,14.294132671167235,0.0013913753443641024,14.932961051673338,0.005123337548487446,12.375893909179505,0.011227860464562886,9.969753273294053,2.5328508216721705e-35,0,0,5.0709699157251106e-36,0.0,0.0,4.317323327995837e-05,0,0,0.00014633868704549968,0.0,0.0,0.00010893649596255273,0,0,0.00010979089711327106,0.0,0.0,0.0001818520249798894,0,0,0.00021260652283672243,0.0,0.0,0.00012033034727210179,0,0,8.04710216470994e-05,0.0,0.0,4.519170033745468e-05,0,0,8.933602657634765e-06,0.0,0.0,2.39793644141173e-05,0,0,5.956399604656326e-07,0.0,0.0,0.00036603049375116825,0,0,1.4385765325641842e-06,0.0,0.0,0.007035643793642521,0,0,2.0913297703373246e-05,0.0,0.0,2.0913297703373246e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
bony fish,compositional,farahmand,0.0,2,0.006024649599567056,0.003992090467363596,0.008057208731770515,7.4620720118241435,1.340918832203419e-25,33.219280948873624,0.0027361383272364037,10.802307386553126,0.0034438397269695997,8.852219358003525,0.006206201389431953,7.387746962218811,0.004058085731230676,7.948715247580867,0.004141072859056294,8.359698930898196,0.003517923381878063,8.873294181925356,0.006655070901615545,8.221224444440892,0.005291392561048269,7.689486324032737,1.0437851871216265e-40,0,0,,,,5.791831426904537e-05,0,0,,,,0.0007646577432751656,0,0,,,,0.004514783620834351,0,0,,,,0.003766638459637761,0,0,,,,0.0013337528798729181,0,0,,,,0.0007199635147117078,0,0,,,,0.0009051784290932119,0,0,,,,0.0031627132557332516,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brass knuckles,non-compositional,farahmand,1.0,2,0.4555108128115535,0.02085123024880886,0.8901703953742981,2.8757851280754774,4.0785598122341195e-31,33.219280948873624,0.0782780428417027,4.444422616504297,0.1776270946720615,5.0224984461459155,0.08209184213774279,6.459642838110671,0.24546263489173725,5.081695551144629,0.4410136956721544,3.586079892030925,0.5027124471962452,2.822585962278444,0.5143125224858522,2.2103324824760837,0.48123274091631174,2.784805915351408,2.672213482979326e-36,0,0,,,,0.14166492223739624,0,1,,,,0.3525694012641907,1,1,,,,0.16339360177516937,0,1,,,,0.4891425669193268,1,1,,,,0.8740949630737305,1,1,,,,0.9851417541503906,1,1,,,,0.9810296297073364,1,1,,,,0.9400668740272522,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cadet branch,non-compositional,farahmand,1.0,2,0.11150214308872819,0.013395552523434162,0.20960873365402222,4.238165682801542,1.4050815127946753e-35,33.219280948873624,0.03213334346219199,8.255497957742556,0.15006666351109743,4.437175015501268,0.17724507488310337,3.4693174836983016,0.11370316566899419,4.3469724643957415,0.02563430741429329,5.637191374996911,0.02266018930822611,6.6037428262492455,0.04953633435070515,5.482072346636239,0.0837111440487206,4.400314844328792,2.7480414781851285e-35,0,0,,,,0.00016704727022442967,0,0,,,,0.007276097312569618,0,1,,,,0.02472018077969551,1,1,,,,0.011166744865477085,0,1,,,,0.009715612977743149,0,0,,,,0.002466978505253792,0,0,,,,0.005340408533811569,0,0,,,,0.0146822864189744,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carnival crowd,compositional,farahmand,0.0,2,0.43209078564541414,0.0010368755320087075,0.8631446957588196,5.062933614051009,9.349950031034494e-34,33.219280948873624,0.13152907672338188,6.589782981444882,0.3068178155372152,5.888603838639268,0.33016628911718726,4.568564128281969,0.41978389164432883,4.9704928179064565,0.47181210201233625,4.4594737266631235,0.47445997479371727,4.713826772511741,0.4757704727817327,4.097780471031256,0.38109660462941974,4.920904893040633,1.2653725132853098e-42,0,0,,,,0.0004103756509721279,0,0,,,,0.00046464966726489365,0,0,,,,0.0027006445452570915,0,0,,,,0.0012134937569499016,0,0,,,,0.0021945293992757797,0,0,,,,0.0015327311120927334,0,0,,,,0.0035983906127512455,0,0,,,,0.0014324251096695662,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carnival people,compositional,farahmand,0.0,2,0.43219041754491627,0.0012361393310129642,0.8631446957588196,4.9361342921191165,9.349950024714638e-34,33.219280948873624,0.13134418541449122,8.258603523021328,0.30660450530012895,7.694085909437156,0.3288485241246235,7.255654017941613,0.4191933140209585,7.5853776472567525,0.4707446260526922,7.060974069500626,0.47375719575939,6.509446683910413,0.474189971369924,5.61796394768459,0.3809706842293963,5.0603842133325125,1.401298464324817e-45,0,0,,,,4.059303319081664e-05,0,0,,,,3.8029193092370406e-05,0,0,,,,6.511456012958661e-05,0,0,,,,3.2338510209228843e-05,0,0,,,,5.957747998763807e-05,0,0,,,,0.00012717304343823344,0,0,,,,0.00043738778913393617,0,0,,,,0.0011805843096226454,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
china clay,non-compositional,farahmand,0.75,2,0.005707153817638755,0.000900032464414835,0.010514275170862675,8.344621065505713,2.09732182314697e-28,33.219280948873624,0.000495542844873853,11.272660354279168,0.0028088179824408144,9.23423474797184,0.0014392741868505254,10.044539541711263,0.0015642069556633942,10.469914493981781,0.0020829935529036447,10.455580416832424,0.0024234322263509966,10.078607365714443,0.002259077853523195,9.096327224938943,0.00379637919832021,8.644872957577993,5.262622793776989e-37,0,0,,,,0.00020885662524960935,0,0,,,,0.005074311047792435,0,0,,,,0.0025232203770428896,0,0,,,,0.002960487036034465,0,0,,,,0.0040404764004051685,0,0,,,,0.0046634795144200325,0,0,,,,0.0035878345370292664,0,0,,,,0.0009378308895975351,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee grinder,compositional,farahmand,0.0,2,0.4988876133575104,0.0012005864409729838,0.9965746402740479,4.853497618658061,4.457890840729528e-24,33.219280948873624,0.043443599133752286,6.099259170630784,0.02287206763867289,6.666509663117015,0.00791599287185818,7.800210068457739,0.01315879460889846,8.103304384497248,0.045071068685501814,7.621768593726122,0.40537702992151026,6.443345948270008,0.4906176052245428,6.522943645434679,0.4992952187312767,4.749347439635887,4.278533257547231e-36,0,0,,,,0.0843653678894043,0,1,,,,0.04351723939180374,0,1,,,,0.014437857083976269,0,0,,,,0.02580517902970314,0,1,,,,0.08985526114702225,0,1,,,,0.8105911612510681,1,1,,,,0.9811146855354309,1,1,,,,0.9972042441368103,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conveyor belt,compositional,farahmand,0.0,2,0.6092183291912079,0.6044594645500183,0.6139771938323975,0.7150127637086287,2.37043643393778e-29,33.219280948873624,0.00974789002793841,8.360468692295274,0.057133039459586143,4.1442627666954,0.40497656539082527,2.164281591796104,0.41162513568997383,2.572992565578036,0.46604071743786335,3.6818098400314208,0.46612772066146135,3.716825756257452,0.4288250335957855,3.6867750465353177,0.4078669920563698,1.6395846579966866,4.740855910335252e-29,0,0,,,,0.00048701505875214934,0,0,,,,0.0490097813308239,0,1,,,,0.7429639101028442,1,1,,,,0.7873812913894653,1,1,,,,0.9255208373069763,1,1,,,,0.9260089993476868,1,1,,,,0.8505602478981018,1,1,,,,0.6595559120178223,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crusader lord,compositional,farahmand,0.0,2,0.15965422239969485,0.0006022601737640798,0.3187061846256256,6.17351329967854,9.078659366429601e-35,33.219280948873624,0.001259501492313575,12.927118353414738,0.002714160628784157,12.009995150393658,0.003139481268590316,10.215466465094842,0.002683471655473113,9.674751316931808,0.008869957935530692,8.007899159514738,0.011619737546425313,7.5200625156982515,0.039892416272778064,6.553010770831175,0.13457115078927018,6.136514823244538,3.1467558314878092e-40,0,0,,,,6.561502232216299e-06,0,0,,,,1.0850902981474064e-05,0,0,,,,0.00011476239887997508,0,0,,,,0.00029516080394387245,0,0,,,,0.0008960288250818849,0,0,,,,0.0013563170796260238,0,0,,,,0.0014478635275736451,0,0,,,,0.0007528083515353501,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
