phrase,label,category,non_comp_score,is_non_comp,n_tokens,ntp_avg_prob,ntp_avg_surprisal,ntp_entry_prob,ll_L0_avg,ll_L6_avg,ll_L12_avg,ll_L18_avg,ll_L24_avg,ll_L30_avg,ll_L36_avg,ll_L42_avg,ll_L47_avg,fl_L0_k1_prob,fl_L0_k1_top1,fl_L0_k1_top5,fl_L6_k1_prob,fl_L6_k1_top1,fl_L6_k1_top5,fl_L12_k1_prob,fl_L12_k1_top1,fl_L12_k1_top5,fl_L18_k1_prob,fl_L18_k1_top1,fl_L18_k1_top5,fl_L24_k1_prob,fl_L24_k1_top1,fl_L24_k1_top5,fl_L30_k1_prob,fl_L30_k1_top1,fl_L30_k1_top5,fl_L36_k1_prob,fl_L36_k1_top1,fl_L36_k1_top5,fl_L42_k1_prob,fl_L42_k1_top1,fl_L42_k1_top5,fl_L47_k1_prob,fl_L47_k1_top1,fl_L47_k1_top5,fl_mid_avg_prob,fl_mid_avg_surprisal,fl_L0_k2_prob,fl_L0_k2_top1,fl_L0_k2_top5,fl_L0_k3_prob,fl_L0_k3_top1,fl_L0_k3_top5,fl_L6_k2_prob,fl_L6_k2_top1,fl_L6_k2_top5,fl_L6_k3_prob,fl_L6_k3_top1,fl_L6_k3_top5,fl_L12_k2_prob,fl_L12_k2_top1,fl_L12_k2_top5,fl_L12_k3_prob,fl_L12_k3_top1,fl_L12_k3_top5,fl_L18_k2_prob,fl_L18_k2_top1,fl_L18_k2_top5,fl_L18_k3_prob,fl_L18_k3_top1,fl_L18_k3_top5,fl_L24_k2_prob,fl_L24_k2_top1,fl_L24_k2_top5,fl_L24_k3_prob,fl_L24_k3_top1,fl_L24_k3_top5,fl_L30_k2_prob,fl_L30_k2_top1,fl_L30_k2_top5,fl_L30_k3_prob,fl_L30_k3_top1,fl_L30_k3_top5,fl_L36_k2_prob,fl_L36_k2_top1,fl_L36_k2_top5,fl_L36_k3_prob,fl_L36_k3_top1,fl_L36_k3_top5,fl_L42_k2_prob,fl_L42_k2_top1,fl_L42_k2_top5,fl_L42_k3_prob,fl_L42_k3_top1,fl_L42_k3_top5,fl_L47_k2_prob,fl_L47_k2_top1,fl_L47_k2_top5,fl_L47_k3_prob,fl_L47_k3_top1,fl_L47_k3_top5,lookahead_avg,fl_L0_k4_prob,fl_L0_k4_top1,fl_L0_k4_top5,fl_L6_k4_prob,fl_L6_k4_top1,fl_L6_k4_top5,fl_L12_k4_prob,fl_L12_k4_top1,fl_L12_k4_top5,fl_L18_k4_prob,fl_L18_k4_top1,fl_L18_k4_top5,fl_L24_k4_prob,fl_L24_k4_top1,fl_L24_k4_top5,fl_L30_k4_prob,fl_L30_k4_top1,fl_L30_k4_top5,fl_L36_k4_prob,fl_L36_k4_top1,fl_L36_k4_top5,fl_L42_k4_prob,fl_L42_k4_top1,fl_L42_k4_top5,fl_L47_k4_prob,fl_L47_k4_top1,fl_L47_k4_top5
academy award,non-compositional,farahmand,1.0,True,2,0.002305093454197049,8.760959042392068,3.248903158237226e-05,1.726856684691299e-30,0.00041984007111750543,0.0006272905739024282,0.0014870122540742159,0.0016886948142200708,0.003897387068718672,0.0043041338212788105,0.002518863882869482,0.0014384277164936066,1.726856684691299e-30,0,0,0.00041984007111750543,0,0,0.0006272905739024282,0,0,0.0014870122540742159,0,0,0.0016886948142200708,0,0,0.003897387068718672,0,0,0.0043041338212788105,0,0,0.002518863882869482,0,0,0.0014384277164936066,0,0,0.0016886948142200708,9.20987566095979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
access card,compositional,farahmand,0.0,False,2,0.005406953394412994,7.530968363592467,4.320943116908893e-05,1.5085625905854513e-26,0.0002587804337963462,0.0003342774580232799,0.0005521862185560167,0.0004260925343260169,0.00010082372318720445,0.00020887756545562297,0.001132206991314888,0.004659736528992653,1.5085625905854513e-26,0,0,0.0002587804337963462,0,0,0.0003342774580232799,0,0,0.0005521862185560167,0,0,0.0004260925343260169,0,0,0.00010082372318720445,0,0,0.00020887756545562297,0,0,0.001132206991314888,0,0,0.004659736528992653,0,0,0.0004260925343260169,11.196545605632917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accounting book,compositional,farahmand,0.0,False,2,0.0009088718798011541,10.103635442008924,1.3362801837502047e-05,2.565977067518371e-33,7.822797488188371e-05,0.00013681172276847064,0.00017894215125124902,0.00013620809477288276,0.00020250787201803178,0.00011832306336145848,0.00010468644177308306,0.001002199831418693,2.565977067518371e-33,0,0,7.822797488188371e-05,0,0,0.00013681172276847064,0,0,0.00017894215125124902,0,0,0.00013620809477288276,0,0,0.00020250787201803178,0,0,0.00011832306336145848,0,0,0.00010468644177308306,0,0,0.001002199831418693,0,0,0.00013620809477288276,12.84189993507119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acting course,compositional,farahmand,0.0,False,2,4.683805673266761e-05,14.381959253429045,3.32432500727009e-05,2.542558545800343e-29,0.0001862949866335839,0.000478255475172773,0.0007747181807644665,0.00019438008894212544,2.6044008336612023e-05,4.024831468996126e-06,2.603878328955034e-06,3.305954305687919e-05,2.542558545800343e-29,0,0,0.0001862949866335839,0,0,0.000478255475172773,0,0,0.0007747181807644665,0,0,0.00019438008894212544,0,0,2.6044008336612023e-05,0,0,4.024831468996126e-06,0,0,2.603878328955034e-06,0,0,3.305954305687919e-05,0,0,0.00019438008894212544,12.3288319335257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action figure,non-compositional,farahmand,1.0,True,2,0.0039033356588333845,8.001076755138463,0.00039744359673932195,4.310105490831864e-26,0.007544642314314842,0.0046920813620090485,0.0006753419293090701,0.0007987436256371439,0.0017603895394131541,0.002780107781291008,0.004497329704463482,0.004141825716942549,4.310105490831864e-26,0,0,0.007544642314314842,0,1,0.0046920813620090485,0,0,0.0006753419293090701,0,0,0.0007987436256371439,0,0,0.0017603895394131541,0,0,0.002780107781291008,0,0,0.004497329704463482,0,0,0.004141825716942549,0,0,0.0007987436256371439,10.289979866852416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action film,compositional,farahmand,0.0,False,2,0.002651466289535165,8.55899387834055,0.00039744359673932195,6.623672439580972e-26,0.00152681116014719,0.0015472840750589967,0.0007757971179671586,0.0011198284337297082,0.001795110059902072,0.0033665751107037067,0.007186712231487036,0.0035426912363618612,6.623672439580972e-26,0,0,0.00152681116014719,0,0,0.0015472840750589967,0,0,0.0007757971179671586,0,0,0.0011198284337297082,0,0,0.001795110059902072,0,0,0.0033665751107037067,0,0,0.007186712231487036,0,0,0.0035426912363618612,0,0,0.0011198284337297082,9.8025065673499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action movie,compositional,farahmand,0.0,False,2,0.004617254249751568,7.75874910788311,0.00039744359673932195,8.470541110858365e-27,0.0009260578081011772,0.001881019095890224,0.001089783851057291,0.0020436509512364864,0.003998213447630405,0.007382056210190058,0.011529282666742802,0.005359920673072338,8.470541110858365e-27,0,0,0.0009260578081011772,0,0,0.001881019095890224,0,0,0.001089783851057291,0,0,0.0020436509512364864,0,0,0.003998213447630405,0,0,0.007382056210190058,0,0,0.011529282666742802,0,0,0.005359920673072338,0,0,0.0020436509512364864,8.934635474845368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjustment process,compositional,farahmand,0.0,False,2,0.01921742968261242,5.701440800183405,1.7275870050070807e-05,1.3501410259872332e-30,0.0018538536969572306,0.013584182597696781,0.03305459022521973,0.06591828167438507,0.10174670815467834,0.12696734070777893,0.08700008690357208,0.023356249555945396,1.3501410259872332e-30,0,0,0.0018538536969572306,0,0,0.013584182597696781,0,1,0.03305459022521973,1,1,0.06591828167438507,1,1,0.10174670815467834,1,1,0.12696734070777893,1,1,0.08700008690357208,1,1,0.023356249555945396,0,0,0.06591828167438507,3.9231775542340843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advertising contract,compositional,farahmand,0.0,False,2,0.0006722338148392737,10.538749264344885,2.5074950826819986e-05,1.345679761840823e-26,0.00013012315321248025,0.00012834512745030224,8.504718425683677e-05,0.00010508118430152535,0.00013201311230659485,0.00012557207082863897,0.00021373014897108078,0.000690822780597955,1.345679761840823e-26,0,0,0.00013012315321248025,0,0,0.00012834512745030224,0,0,8.504718425683677e-05,0,0,0.00010508118430152535,0,0,0.00013201311230659485,0,0,0.00012557207082863897,0,0,0.00021373014897108078,0,0,0.000690822780597955,0,0,0.00010508118430152535,13.216208014198333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advertising designer,compositional,farahmand,0.0,False,2,1.666956814005971e-05,15.87242374565326,2.5074950826819986e-05,9.542298784122507e-27,8.229614650190342e-06,1.359368980047293e-05,3.90840023101191e-06,6.549199042638065e-06,4.932233423460275e-06,9.008011147670913e-06,1.0856171684281435e-05,1.9293305740575306e-05,9.542298784122507e-27,0,0,8.229614650190342e-06,0,0,1.359368980047293e-05,0,0,3.90840023101191e-06,0,0,6.549199042638065e-06,0,0,4.932233423460275e-06,0,0,9.008011147670913e-06,0,0,1.0856171684281435e-05,0,0,1.9293305740575306e-05,0,0,6.549199042638065e-06,17.220250091356743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
